name,id,metroArea,lat,lng,capacity
Bitterzoet,32609,Amsterdam,52.3774047,4.8942161,
La Flèche d'Or,121831,Paris,48.8594289,2.4028187,
Electric Brixton,9022,London,51.45995,-0.11727,1500
The Academy,30014,Dublin,53.34795,-6.26199,833
Academy 2,349321,Dublin,53.34803,-6.262,
King Tut's Wah Wah Hut,7326,Glasgow,55.8625,-4.26535,300
Great Escape Festival,80083,Brighton,50.8206723,-0.1376818,
Manchester Methodist Central Hall,1769273,Manchester,53.4819069,-2.2360429,
O2 Institute3 Birmingham,1088401,Birmingham,52.47556,-1.88744,300
Ryman Auditorium,795,Nashville,36.16117,-86.77869,2362
Gulf Shores Beach,900591,Gulf Shores,30.24743,-87.69056,
Roseland Ballroom,1046,New York,40.7631247,-73.9842025,3700
Masonic Temple,7495,Detroit,42.34153,-83.06007,4300
Tom McCall Waterfront Park,159363,Portland,45.51506,-122.67332,
Gorge Amphitheatre,46152,Spokane,47.09376,-119.98314,20000
Hult Center for the Performing Arts,9705,Salem,44.0524911,-123.0932162,
Great Stage Park,47323,Chattanooga,35.47811,-86.04642,
Brown's Island,31034,Richmond,37.53512,-77.4449,
"SummerStage, Central Park",732111,New York,40.77052,-73.96844,
Les Eurockéenes Festival,43158,Belfort,47.6822477,6.7970919,
Tivoli Oudegracht,478701,Utrecht,52.0873013,5.121664,
Live Music Hall,29586,Cologne,50.94909,6.91009,2500
Esplanade Du Lac,379541,Chambéry,45.69711,5.88638,
Huntingdon Mill Hill Field,885406,Milton Keynes,52.3868479,-0.1774353,
Fort Adams State Park,17806,Providence,41.4788755,-71.3362241,
Papermill Island,1027171,Baldwinsville,43.15651,-76.33457,
The Vogue Theatre,1273,Indianapolis,39.86921,-86.14574,1000
Metro,1070,Chicago,41.94983,-87.65893,1100
First Avenue,28708,Twin Cities,44.97827,-93.27608,
Grant Park,15612,Chicago,41.8827891,-87.6189229,20000
Red Rocks Amphitheatre,591,Denver,39.66647,-105.20485,9450
Richard L. Berkley Riverfront Park,963776,Kansas City,39.1120955,-94.5840726,
Golden Gate Park,5832,SF Bay Area,37.7822891,-122.463708,
Fonda Theatre,187523,Los Angeles,34.1012695,-118.3232478,1300
The Fox Theater Pomona,92865,Los Angeles (LA),34.05685,-117.75028,
House of Blues San Diego presented by Cricket Wireless,11976,San Diego,32.71636,-117.15961,1100
Shoals Theater,2997,Huntsville,34.8008,-87.6747,
Larmer Tree Gardens,28922,Shaftesbury,50.95669,-2.08037,
Stradbally Hall,947001,Galway,53.0158,-7.14947,
O2 Academy Oxford,38321,Oxford,51.74694,-1.2346,1020
Concorde 2,7325,Brighton,50.81726,-0.12307,600
Robin Hill Country Park,9289,Portsmouth,50.6865925,-1.2470516,
Public Square Park,1111256,Nashville,36.16639,-86.77992,
New Daisy Theatre,11082,Memphis,35.1393522,-90.0499833,
The Masquerade,196,Atlanta,33.75103,-84.39028,4000
Franklin Music Hall,1003,Philadelphia,39.95898,-75.15028,3000
Kool Haus,30023,Toronto,43.6442533,-79.3683586,
Terminal 5,3199,New York,40.7706615,-73.9942689,3000
House of Blues Boston presented by Cricket Wireless,50095,Boston / Cambridge,42.34735,-71.09567,2400
Merriweather Post Pavilion,93446,Baltimore,39.2087707,-76.8627794,19316
"W.L. Lyons Brown Theatre, Kentucky Center for the Performing Arts",11103,Louisville,38.24622,-85.75744,
The Pageant,1231,St Louis,38.65557,-90.29787,2300
Stubb's Waller Creek Amphitheater,84433,Austin,30.268569,-97.736081,
Zilker Park,649,Austin,30.2679,-97.77218,
Autódromo Hermanos Rodríguez,70055,Mexico City,19.43261,-99.13321,
Tuscaloosa Amphitheater,1227746,Birmingham,33.211159,-87.5737437,
Muffatwerk,803636,Munich,48.13321,11.58971,
Astra Kulturhaus,449366,Berlin,52.5083955,13.4518736,
Docks,29587,Hamburg,53.54942,9.96491,1500
Paradiso Grote Zaal,558871,Amsterdam,52.36228,4.88395,1500
AB Box,32252,Brussels,50.8472717,4.3487385,2000
LA CIGALE,30931,Paris,48.88251,2.34022,1389
Festival Les Inrocks,32249,Paris,48.856614,2.3522219,
Manchester Academy,32763,Manchester,53.4641,-2.23149,1500
Barrowland Ballroom,5391,Glasgow,55.8550553,-4.2369184,1900
Olympia Theatre,38529,Dublin,53.34431,-6.26607,1240
Coronet Theatre,8879,London,51.4948118,-0.0990931,2600
O2 Forum Kentish Town,37414,London,51.55214,-0.14217,2350
Riverside Theatre,744,Milwaukee,43.0388875,-87.9109371,
Riviera Theatre,1284,Chicago,41.96859,-87.65975,2500
The Chicago Theatre,1021,Chicago,41.88537,-87.62746,3600
The Republik,1494913,Honolulu,21.2941297,-157.8448445,
Olympic Park Showgrounds,448286,Sydney,-33.7263939,150.9902092,
Gold Coast Parklands,36539,Gold Coast,-27.9651817,153.3857158,
Forum Melbourne,33261,Melbourne,-37.8166,144.96958,
Adelaide Showground,36540,Adelaide,-34.94484,138.58913,
Flemington Racecourse,1596198,Melbourne,-37.78628,144.92015,
Claremont Showgrounds,36541,Perth,-31.97592,115.7852,
Ebisu Liquid Room (リキッドルーム),38487,Tokyo,35.6449,139.71888,1200
Knitting Factory Concert House - Boise,28692,Boise,43.61319,-116.20735,999
McMenamin's Crystal Ballroom,1228,Portland,45.52274,-122.6848,1000
Paramount Theatre,529,Seattle,47.6133,-122.33139,2807
Fox Theater,953251,SF Bay Area,37.80785,-122.27,2800
"Mondavi Center, UC Davis (UCD)",121025,Sacramento,38.53354,-121.74757,1801
The Great Saltair,15329,Salt Lake City,40.74721,-112.1882,
Ogden Theatre,537,Denver,39.74017,-104.97527,1600
Uptown Theater,631,Kansas City,39.06115,-94.59053,1700
Palladium Ballroom,1208,Dallas - Fort Worth,32.768777,-96.797987,
Star of Texas Fair & Rodeo,525221,Austin,30.29568,-97.62193,
The Sugar Mill,1226,New Orleans,29.94098,-90.06483,
Hal & Mal's,34216,Jackson,32.29802,-90.17992,
Vive Cuervo Salón,753686,Mexico City,19.44334,-99.2002481,
Jockey Club de São Paulo,56734,São Paulo,-23.5827,-46.69973,
Costanera Sur,829826,Buenos Aires,-34.6239929,-58.3490372,
Lollapalooza Chile,1285781,Santiago,-33.611839,-70.519048,
Napa Valley Exposition,805826,Santa Rosa,38.298693,-122.278094,
Eleanor Tinsley Park,30173,Houston,29.7597219,-95.3809017,
Sloss Furnaces National Historic Landmark,1304,Birmingham,33.52216,-86.79015,
EXPRESS LIVE!,777,Columbus,39.96969,-83.00978,2200
Royal Oak Music Theatre,1016,Detroit,42.4873251,-83.1474339,1700
RBC Echo Beach,1344616,Toronto,43.62933,-79.41507,
Dover International Speedway,992561,Wilmington,39.1883396,-75.5329563,135000
Capitol Theatre,431031,Port Chester,41.00147,-73.66544,1800
Worthy Farm,43803,Shepton Mallet,51.15984,-2.58586,177500
Queen Elizabeth Olympic Park,2189504,London,51.5433,-0.01655,
Waterfront Park Great Lawn,189133,Louisville,38.2588213,-85.7467959,
Cain's Ballroom,1232,Tulsa,36.16097,-95.99464,1500
"Popejoy Hall, UNM",17317,Albuquerque,35.09259,-106.61851,
Hollywood Palladium,1401,Los Angeles (LA),34.09815,-118.32454,3500
Pearl Concert Theater at Palms Casino Resort,851361,Las Vegas,36.11413,-115.19651,
Grand Targhee Resort,229178,Alta,43.7881158,-110.9587501,
Orpheum,30234,Vancouver,49.2798,-123.12042,2672
Calgary Folk Festival,773631,Calgary,51.0556372,-114.070249,
Interstellar Rodeo,1800663,Edmonton,53.544389,-113.4909267,
The Cabooze,2049,Twin Cities,44.96341,-93.2469,1000
Dyrehaven,484766,Aarhus,55.9923966,9.8822927,
Alter Reitplatz,489411,Haldern,51.7771608,6.4803457,
Sala Apolo,33049,Barcelona,,,
Praia do Tabuão,479751,Paredes de Coura,,,
Evenemententerrein Walibi World,239403,Biddinghuizen,52.4396038,5.7682193,
"Central Field, Forest Park",1030371,St Louis,38.66458,-90.26881,
Cottonwood Flats,329521,Oklahoma City,35.88531,-97.43153,
North Charleston Performing Arts Center,215953,Columbia,32.8655,-80.02243,
Koka Booth Amphitheatre,898,Raleigh,35.7289109,-78.795393,7000
The Woods at Fontanel,1075736,Nashville,36.2593076,-86.8303565,
Arizona Veterans Memorial Coliseum,445216,Phoenix,33.46595,-112.09567,
Downtown Las Vegas,1377206,Las Vegas,36.169173,-115.1400644,
Hard Rock Live Orlando,38516,Orlando,28.4737,-81.46734,
The Fillmore Miami Beach at Jackie Gleason Theater,244628,Miami,25.79292,-80.13314,2700
Jannus Live,943,St Petersburg,27.771666,-82.636035,
St. Augustine Amphitheatre,2569,Jacksonville,29.87571,-81.28294,
Saenger Theatre,48302,Mobile,30.69082,-88.04381,
Fair Grounds Race Course,68443,New Orleans,29.98378,-90.07698,
Fairgrounds,1188806,New Orleans,29.9837818,-90.0769849,
Tom Lee Park,15550,Memphis,35.13988,-90.05935,
Oak Point Park & Nature Preserve,2081879,Plano,33.052954,-96.6730785,
Hard Rock Live Northfield Park,2488334,Cleveland,41.35019,-81.52666,2600
STAGE AE,1152511,Pittsburgh,40.4459,-80.01151,5500
Atlantic Station,326611,Atlanta,33.79256,-84.39753,
The National,13872,Richmond,37.5417961,-77.4353949,1500
Grand Ole Opry House,632121,Nashville,36.20599,-86.69155,
Barker Hangar,119224,Los Angeles (LA),34.01473,-118.44963,
Islington Assembly Hall,1256546,London,51.54161,-0.10289,800
Beacon Theatre,1025,New York,40.77604,-73.98204,2894
Overture Center for the Arts,1366,Madison,43.0747633,-89.3880664,
Virginia Theatre,11176,Champaign,40.11729,-88.24556,
Minglewood Hall,48245,Memphis,35.13796,-90.00984,1200
Tennessee Theatre,683,Knoxville,35.96414,-83.91755,
Enmore Theatre,29968,Sydney,-33.899025,151.174191,
Tyagarah Tea Tree Farm,805061,Gold Coast,-28.60675,153.5696,
Marquee Theatre,44406,Phoenix,33.43689,-111.94373,
Empire Polo Club,15503,San Diego,33.68233,-116.23892,
Greek Theatre,841,SF Bay Area,37.87407,-122.25554,8500
Brooklyn Bowl at the Linq Promenade,2522089,Las Vegas,36.11777,-115.17258,2000
Jimmy Kimmel Live!,51240,Los Angeles,34.101158,-118.340149,998
Oslo,2448609,London,51.54798,-0.05752,375
O2 Academy Birmingham,640211,Birmingham,52.47313,-1.90026,3000
Brighton Dome,9063,Brighton,50.8247549,-0.1415366,1860
O2 Apollo Manchester,1575,Manchester,53.46066,-2.20618,3500
The Fabulous Fox Theatre,796411,St Louis,38.6294,-90.23554,4500
Starlight Theatre,853,Kansas City,39.00696,-94.5315,8100
Hall's Island,2903988,Twin Cities,44.9846374,-93.2599901,
The Farm Bureau Insurance Lawn at White River State Park,5091,Indianapolis,39.7665562,-86.1708033,50000
Seaside Heights Beach,2422314,Philadelphia,39.9394314,-74.075957,
Hunter Mountain,63115,Hunter,42.20904,-74.21208,
"Garrison Common, Fort York",1752478,Toronto,43.6384635,-79.4053458,
Sprint Pavilion,722481,Richmond,38.029236,-78.4766141,3500
Festivalpark,93630,Werchter,50.9677483,4.6923588,85000
Conne Island,33353,Leipzig,51.30239,12.37458,
Open'er Festival,46154,Gdynia,54.5096187,18.5369186,
Montreux Jazz Festival,108189,Montreux,46.4312213,6.9106799,
Marlay Park,31951,Dublin,53.3004978,-6.2838544,32000
Gloria Theater,514726,Cologne,50.93756,6.94503,950
North Sea Jazz Festival,521901,Rotterdam,51.8843166,4.4876061,
Strathallan Castle,2854408,Auchterarder,56.3195027,-3.7494232,85000
Iroquois Amphitheater,2966,Louisville,38.1601037,-85.779537,
"Hutchinson Field, Grant Park",15841,Chicago,41.8731686,-87.6205768,
Harrah's Council Bluffs Casino & Hotel,89986,Omaha,41.25117,-95.91465,
Red Butte Garden,1080,Salt Lake City,40.7614687,-111.8273508,
Idaho Botanical Garden,83407,Boise,43.6024389,-116.1638531,
Loggers Sports Grounds,1052671,Vancouver,49.6939509,-123.1558991,
McMenamin's Historic Edgefield Manor,664,Portland,45.53712,-122.40658,
Marymoor Park,31801,Seattle,47.66452,-122.11442,5000
"Open Air Amphitheater, SDSU",43265,San Diego,32.7716566,-117.0718799,4800
Greek Theatre,523,Los Angeles (LA),34.11805,-118.29383,5800
Santa Barbara Bowl,29228,Los Angeles,34.43266,-119.69381,4569
Verizon Theatre at Grand Prairie,36241,Dallas - Fort Worth,32.766852,-96.983464,6350
Ameris Bank Amphitheatre,15172,Atlanta,34.05438,-84.30645,
Amphitheater at the Wharf,15089,Mobile,30.2919845,-87.6285968,
Mann Center for the Performing Arts,686,Philadelphia,39.9831152,-75.2226272,14000
Forest Hills Stadium,51388,New York,40.7196,-73.84729,
Artpark,16084,Buffalo,43.1656622,-79.045296,
Scotiabank Arena,3959804,Toronto,43.64352,-79.37908,19800
The Stadium at Td Place,2809388,Ottawa,45.39829,-75.68426,
City Hall Plaza,43422,Boston / Cambridge,42.3577,-71.05936,
Mrcy,2683718,Montreal,45.6066487,-73.712409,
Espace Montmorency,1133011,Montreal,45.5579841,-73.7183131,
Austin City Limits,43882,Austin,30.289162,-97.740716,
Ferienpark,1573863,Oldenburg,54.30984,10.79684,
De Oosterpoort,514231,Groningen,53.2141746,6.5756586,1150
Royal Circus (Cirque Royal/Koninklijk Circus),49110,Brussels,50.84906,4.3657,
X-TRA,49813,Zürich,47.38417,8.533,
ROCKHAL,548781,Esch Sur Alzette,49.4998,5.94765,6500
13,29602,Tilburg,51.5606,5.09191,2200
O2 Academy Brixton,17522,London,51.46516,-0.11493,4921
KeyArena at Seattle Center,33714,Seattle,47.62164,-122.3507,
Parque Deportivo 222,2531329,Bogota,7.90275,-72.50074,
Autódromo José Carlos Pace (Interlagos),1674408,São Paulo,-23.7037893,-46.7009188,
Audio Club,2556734,São Paulo,-23.5283899,-46.6697226,
Parque O'Higgins,1103016,Santiago,-33.4653864,-70.6636934,
Niceto Club,32868,Buenos Aires,-34.58741,-58.43887,1000
Hipódromo de San Isidro,821361,Buenos Aires,-34.47965,-58.52233,
Ascend Amphitheater,2956913,Nashville,36.15929,-86.77197,
Uptown Amphitheatre at NC Music Factory,1290891,Charlotte,35.239095,-80.845519,5000
Volvo Cars Stadium,30495,Columbia,32.861482,-79.90165,
Exploreasheville.com Arena,3223919,Knoxville,35.59734,-82.55529,
The Classic Center,1443,Atlanta,33.96047,-83.37303,
Clematis By Night Festival Grounds,16082,Fort Lauderdale,26.7125134,-80.0493838,
Cuban Club,14692,Tampa,27.9622,-82.44438,
Les Schwab Amphitheater,51605,Salem,44.04592,-121.31535,
Deer Lake Park,46151,Vancouver,49.2354318,-122.977967,
American Family Insurance Amphitheater,601,Milwaukee,43.03449,-87.89936,23000
Hyde Park,3930,London,51.5081966,-0.1652354,150000
Parc del Fòrum,69463,Barcelona,41.4121004,2.2187915,25000
Waterfront Park,2698813,Louisville,38.2599177,-85.7445199,
Mud Island Amphitheatre,854,Memphis,35.1491,-90.05291,
Children's Mercy Park,2928058,Kansas City,39.122757,-94.8249294,
Civic Opera House,9439,Chicago,41.88231,-87.63732,
Aragon Ballroom,837,Chicago,41.9692552,-87.6579453,4500
Wiggins Waterfront Park,3232269,Philadelphia,39.94441,-75.12968,
Randall's Island,1024,New York (NYC),40.78377,-73.92567,
BB&T Pavilion,15033,Philadelphia,40.0177386,-75.0004321,25000
Selby Ranch,3255329,Buena Vista,38.8422178,-106.1311288,
Kit Carson State Park,78127,Taos,36.40725,-105.57307,
Arizona Federal Theatre,1149166,Phoenix,33.44885,-112.07959,5500
Irvine Meadows Amphitheatre,28992,Los Angeles,33.6370977,-117.7491055,16085
Union Bank & Trust Pavilion,3789184,Chesapeake,36.83109,-76.29797,
Music Midtown,99121,Atlanta,33.78937,-84.37074,
Jiffy Lube Live,475,Washington,38.786011,-77.587845,22500
Piedmont Park,889,Atlanta,33.78424,-84.36399,
Capital City Amphitheater,2554529,Tallahassee,30.4423327,-84.2781973,3500
Bold Sphere Music at Champions Square,2982038,New Orleans,29.9510658,-90.0715323,
Austin360 Amphitheater,2151799,Austin,30.13293,-97.6406811,15000
Cynthia Woods Mitchell Pavilion,492,Houston,30.16159,-95.46403,16500
Studio Coast (新木場),33053,Tokyo,35.64223,139.82531,2402
Zepp Nagoya,51775,Nagoya,35.1632398,136.8841476,
Dojima River Forum / 堂島リバーフォーラム,1177546,Osaka,34.69394,135.48929,
Drum Logos,44119,Fukuoka,33.59065,130.38832,
Shreveport Municipal Auditorium,114052,Shreveport,32.50782,-93.75347,
The Roxy Theatre,1300,Los Angeles,34.09071,-118.38797,500
Rose Bowl,5902,Los Angeles (LA),34.16097,-118.16747,92542
Palace Theatre,13460,Springfield,42.65463,-73.75041,
The Green at Shelburne Museum,111349,Shelburne,44.3708733,-73.2316975,
Parc Jean-Drapeau,47295,Montreal,45.50364,-73.52922,15000
Blue Hills Bank Pavilion,602,Boston / Cambridge,42.3486,-71.03604,5000
Thompson’s Point,2602638,Portland,43.65171,-70.28992,
Underground Arts,1478523,Philadelphia,39.9591168,-75.1583146,600
U Street Music Hall,839721,Washington,38.917202,-77.027764,500
Camden Assembly,7786,London,51.54311,-0.14923,200
Toyota Presents the Oakdale Theatre,109614,Bridgeport,41.44943,-72.84519,4600
Barclays Center,1656338,New York,40.68349,-73.97603,18103
Dingwalls,7039,London,51.54182,-0.14588,487
BADABOUM,2445919,Paris,48.8536,2.37578,
Oakland Arena,615,SF Bay Area,37.75155,-122.20157,
Wells Fargo Center,1079871,Philadelphia,39.90427,-75.17133,
Mid Hudson Civic Center,859,Bridgeport,41.70496,-73.92936,
Capital One Arena,3640349,Washington,38.89801,-77.021,20278
Amalie Arena,1056,Tampa,27.9425879,-82.4519634,21500
Times Square,517491,New York (NYC),40.75866,-73.98954,
University Of Western Ontario,70352,London,,,
Théâtre Corona,281966,Montreal,45.4829,-73.57524,925
The Danforth Music Hall,30065,Toronto,43.67644,-79.35713,1500
Brighton Music Hall,1167706,Boston / Cambridge,42.35287,-71.13259,300
Theatre of Living Arts,28639,Philadelphia,39.94131,-75.14868,800
Webster Hall,924,New York,40.73177,-73.98911,1500
Rock and Roll Hall of Fame and Museum,6826,Cleveland,41.5085076,-81.6955546,
St. Andrew's Hall Detroit,915,Detroit,42.33221,-83.04144,800
Terminal West,1315546,Atlanta,33.78229,-84.4162,600
Granada Theater,11334,Dallas - Fort Worth,32.83082,-96.76979,1000
The Ballroom at Warehouse Live,1019041,Houston,29.75198,-95.3545,1650
Emo's Austin,1421588,Austin,30.2403964,-97.7282016,1700
Crescent Ballroom,1417923,Phoenix,33.4518,-112.07693,
The Fillmore,6239,SF Bay Area,37.78426,-122.4333,1200
El Rey Theatre,1039,Los Angeles (LA),34.0624,-118.3488,700
Lincoln Theatre,2826,Washington,38.9174,-77.02899,
L'Alhambra,51611,Paris,48.87067,2.36307,800
Luxor,30753,Cologne,50.92726,6.93933,300
Lido,29991,Berlin,52.49926,13.44522,400
Zoom,76055,Frankfurt,50.11545,8.68309,
CIRQUE ROYAL-KONINKLIJK CIRCUS,32662,Brussels,50.84906,4.3657,700
Melkweg Max,1109211,Amsterdam,52.37022,4.89517,
Sound Control,505531,Manchester,53.4735165,-2.2426403,450
Vogue Theatre,30681,Vancouver,49.28009,-123.12172,1250
"MacEwan Ballroom, University of Calgary",53688,Calgary,51.07559,-114.12957,
Union Hall,35610,Edmonton,53.49861,-113.48747,
Vic Theatre,32409,Chicago,41.93947,-87.65399,
North Island Credit Union Amphitheatre,69998,San Diego,32.5883,-117.00606,19500
Dignity Health Sports Park,2225,Los Angeles,33.8646,-118.26107,
"Boulevard Pool, The Cosmopolitan of Las Vegas",1228291,Las Vegas,36.109622,-115.1732124,
Powderham Castle,38178,Newcastle Upon Tyne,50.64292,-3.46295,25000
Northwell Health at Jones Beach Theater,633,New York,40.60114,-73.50252,14400
Wembley Stadium,12522,London,51.5567,-0.27967,90000
LeBreton Flats,46322,Ottawa,45.4171898,-75.7168261,
Villain,1078826,New York,40.71766,-73.96385,
MetLife Stadium,33587,Jersey City,40.8142092,-74.0736902,82500
Bankers Life Fieldhouse,472,Indianapolis,39.76405,-86.15548,
Scottrade Center,973,St Louis,38.626175,-90.202131,19260
Soldier Field,14732,Chicago,41.86611,-87.61729,61500
KFC Yum! Center,1035851,Louisville,38.2566416,-85.7539205,
Nationwide Arena,522,Columbus,39.9694,-83.00636,
Gillette Stadium,464,Foxborough,42.09119,-71.26689,68756
KeyBank Center,38546,Buffalo,42.87495,-78.87625,19200
The Palace of Auburn Hills,535,Detroit,42.696511,-83.2437214,62000
PPG Paints Arena,922176,Pittsburgh,40.43959,-79.98894,20000
Gila River Arena,907,Glendale,33.53147,-112.26091,
BOK Center,11944,Tulsa,36.152764,-95.996227,19100
AT&T Stadium,50098,Dallas - Fort Worth,32.7479,-97.09291,111000
Madison Square Garden,477,New York (NYC),40.74971,-73.99156,20000
Pepsi Center,497,Denver,39.74557,-105.01048,
Vivint Smart Home Arena,467,Salt Lake City,40.76772,-111.90113,
T-Mobile Arena,3189929,Las Vegas,36.10312,-115.17817,
Levi's® Stadium,2790068,SF Bay Area,37.40464,-121.9693,
"Gryphon Field House, University of Guelph",3371424,Guelph,43.5343036,-80.2250455,
Las Vegas Village,2713533,Las Vegas,36.0956098,-115.1716268,
The Fillmore,1448428,Washington,38.99748,-77.02793,2000
Orpheum Theatre Boston,1026,Boston / Cambridge,42.35625,-71.06108,2700
Radio City Music Hall,626,New York,40.76011,-73.98002,6015
The Fillmore,785,Detroit,42.33781,-83.05173,2900
Orpheum Theatre,7582,Twin Cities,44.9764,-93.27751,
Paramount Theatre,1171,Denver,39.74436,-104.99027,
The Depot,983,Salt Lake City,40.7688,-111.90283,1200
The Wiltern,780,Los Angeles,34.06194,-118.30884,2300
"The Foundry, SLS Las Vegas",3173729,Las Vegas,36.1423259,-115.1561477,1800
The Masonic,5614,SF Bay Area,37.79118,-122.41294,
Copley Symphony Hall,1130,San Diego,32.71806,-117.1579,
Tabernacle presented by Cricket Wireless,669,Atlanta,33.7587,-84.39146,2500
Ruth Eckerd Hall,441,St Petersburg,27.97587,-82.70495,2180
MTELUS,20838,Montreal,45.51053,-73.56337,2300
The GRAMMY Museum,36514,Los Angeles,34.04503,-118.2656326,
American Airlines Center,673,Dallas - Fort Worth,32.79044,-96.81016,
The Ritz,2907168,SF Bay Area,37.33005,-121.88554,
STAPLES Center,598,Los Angeles,34.04301,-118.26736,18118
